Timepoint	r-20160630-M1-25nM-7min-1.csv-3	r-20160630-M1-25nM-7min-1.csv-4	r-20160630-M1-25nM-7min-2.csv-1	r-20160630-M1-25nM-7min-3.csv-1	r-20160630-M1-25nM-7min-3.csv-3	r-20160630-M1-25nM-7min-3.csv-22	r-20160630-M1-25nM-7min-4.csv-3	r-20160630-M1-25nM-7min-4.csv-4	r-20160630-M1-25nM-7min-4.csv-7	r-20160630-M1-25nM-7min-4.csv-8	r-20160630-M1-25nM-7min-4.csv-9	r-20160630-M1-25nM-7min-4.csv-10	r-20160630-M1-25nM-7min-4.csv-11	r-20160630-M1-25nM-7min-5.csv-2	r-20160630-M1-25nM-7min-5.csv-4	r-20160630-M1-25nM-7min-5.csv-7	r-20160630-M1-25nM-7min-5.csv-10	r-20160630-M1-25nM-7min-5.csv-14	r-20160630-M1-25nM-7min-5.csv-19	r-20160630-M1-25nM-7min-5.csv-20	r-20160630-M1-25nM-7min-5.csv-21	r-20160630-M1-25nM-7min-6.csv-6	r-20160630-M1-25nM-7min-6.csv-15	r-20160630-M1-25nM-7min-6.csv-16	r-20160630-M1-25nM-7min-7.csv-7	r-20160630-M1-25nM-7min-7.csv-8	r-20160630-M1-25nM-7min-7.csv-9	r-20160630-M1-25nM-7min-7.csv-11	r-20160630-M1-25nM-7min-7.csv-12	r-20160630-M1-25nM-7min-7.csv-13	r-20160630-M1-25nM-7min-7.csv-14	r-20160630-M1-25nM-7min-7.csv-16	r-20160630-M1-25nM-7min-7.csv-17	r-20160630-M1-25nM-7min-7.csv-27	r-20160630-M1-25nM-7min-7.csv-62
1	0.753	0.744	0.784	0.739	0.773	0.782	0.730	0.771	0.799	0.726	0.782	0.783	0.732	0.741	0.748	0.768	0.745	0.762	0.772	0.726	0.748	0.756	0.764	0.746	0.766	0.763	0.783	0.797	0.866	0.797	0.775	0.785	0.777	NaN	NaN
2	0.748	0.743	0.793	0.715	0.770	0.780	0.731	0.769	0.802	0.724	0.785	0.786	0.727	0.731	0.746	0.758	0.761	0.767	0.770	0.735	0.745	0.759	0.759	0.741	0.764	0.760	0.784	0.794	0.828	0.798	0.766	0.780	0.772	NaN	NaN
3	0.743	0.741	0.790	0.706	0.767	0.780	0.733	0.767	0.803	0.722	0.782	0.785	0.723	0.724	0.744	0.754	0.767	0.770	0.768	0.722	0.743	0.762	0.757	0.738	0.763	0.758	0.781	0.791	0.809	0.797	0.762	0.776	0.769	NaN	NaN
4	0.739	0.737	0.777	0.708	0.765	0.779	0.734	0.766	0.804	0.721	0.775	0.781	0.720	0.721	0.742	0.751	0.766	0.772	0.767	0.719	0.741	0.765	0.757	0.737	0.764	0.756	0.775	0.789	0.800	0.795	0.760	0.773	0.767	NaN	NaN
5	0.736	0.733	0.763	0.716	0.764	0.779	0.735	0.766	0.804	0.719	0.766	0.776	0.720	0.722	0.741	0.748	0.761	0.772	0.766	0.715	0.739	0.767	0.757	0.737	0.765	0.754	0.768	0.786	0.797	0.793	0.759	0.770	0.766	NaN	NaN
6	0.734	0.729	0.755	0.724	0.764	0.779	0.736	0.766	0.803	0.719	0.759	0.773	0.722	0.724	0.739	0.752	0.756	0.772	0.765	0.712	0.737	0.768	0.756	0.738	0.766	0.753	0.762	0.783	0.795	0.792	0.757	0.768	0.765	NaN	NaN
7	0.732	0.727	0.752	0.730	0.764	0.779	0.737	0.767	0.803	0.719	0.757	0.773	0.724	0.726	0.736	0.755	0.755	0.770	0.765	0.710	0.736	0.767	0.755	0.739	0.767	0.752	0.760	0.782	0.794	0.791	0.756	0.767	0.763	NaN	NaN
8	0.731	0.725	0.751	0.734	0.764	0.779	0.739	0.767	0.802	0.719	0.759	0.776	0.726	0.728	0.734	0.756	0.756	0.768	0.765	0.717	0.735	0.764	0.752	0.738	0.767	0.751	0.760	0.782	0.793	0.789	0.755	0.765	0.761	NaN	NaN
9	0.731	0.725	0.753	0.734	0.764	0.779	0.741	0.767	0.801	0.720	0.764	0.779	0.725	0.731	0.732	0.755	0.759	0.767	0.766	0.727	0.734	0.760	0.751	0.736	0.767	0.751	0.762	0.782	0.788	0.787	0.757	0.764	0.761	NaN	NaN
10	0.732	0.725	0.757	0.731	0.765	0.779	0.742	0.767	0.800	0.721	0.767	0.781	0.723	0.733	0.732	0.757	0.761	0.766	0.766	0.720	0.734	0.754	0.752	0.733	0.768	0.751	0.764	0.778	0.785	0.784	0.758	0.764	0.763	NaN	NaN
11	0.732	0.725	0.762	0.725	0.765	0.780	0.744	0.767	0.800	0.722	0.766	0.779	0.723	0.731	0.733	0.758	0.761	0.766	0.765	0.716	0.734	0.750	0.758	0.732	0.769	0.750	0.767	0.772	0.790	0.782	0.757	0.765	0.765	NaN	NaN
12	0.733	0.727	0.763	0.720	0.765	0.780	0.745	0.766	0.799	0.723	0.762	0.774	0.723	0.724	0.735	0.762	0.762	0.766	0.763	0.715	0.734	0.749	0.765	0.732	0.771	0.749	0.772	0.767	0.802	0.782	0.755	0.767	0.769	NaN	NaN
13	0.734	0.728	0.762	0.720	0.765	0.780	0.745	0.765	0.798	0.724	0.758	0.770	0.726	0.716	0.738	0.768	0.763	0.765	0.761	0.716	0.734	0.751	0.772	0.732	0.772	0.748	0.776	0.764	0.810	0.785	0.755	0.769	0.773	NaN	NaN
14	0.734	0.729	0.761	0.725	0.764	0.780	0.745	0.764	0.797	0.725	0.757	0.769	0.730	0.711	0.740	0.773	0.765	0.765	0.760	0.719	0.734	0.756	0.773	0.733	0.772	0.747	0.780	0.764	0.811	0.788	0.757	0.769	0.777	NaN	NaN
15	0.735	0.729	0.762	0.731	0.764	0.780	0.744	0.764	0.796	0.726	0.762	0.770	0.734	0.710	0.743	0.774	0.764	0.765	0.758	0.730	0.734	0.762	0.771	0.732	0.770	0.748	0.783	0.766	0.808	0.788	0.764	0.766	0.781	NaN	NaN
16	0.735	0.729	0.766	0.736	0.763	0.779	0.742	0.764	0.796	0.726	0.772	0.770	0.736	0.710	0.745	0.772	0.761	0.765	0.758	0.739	0.735	0.767	0.765	0.731	0.767	0.749	0.785	0.769	0.802	0.787	0.777	0.761	0.785	NaN	NaN
17	0.736	0.729	0.768	0.739	0.762	0.778	0.740	0.764	0.796	0.726	0.786	0.770	0.736	0.711	0.747	0.770	0.758	0.764	0.758	0.724	0.735	0.771	0.760	0.731	0.764	0.750	0.784	0.773	0.796	0.785	0.796	0.758	0.790	NaN	NaN
18	0.736	0.728	0.767	0.740	0.761	0.777	0.738	0.765	0.797	0.726	0.802	0.769	0.733	0.713	0.746	0.767	0.758	0.762	0.758	0.707	0.736	0.772	0.756	0.732	0.761	0.752	0.782	0.778	0.792	0.784	0.816	0.757	0.797	NaN	NaN
