Timepoint	r-20160707-M2-25nM-10min-1.csv-1	r-20160707-M2-25nM-10min-1.csv-2	r-20160707-M2-25nM-10min-1.csv-3	r-20160707-M2-25nM-10min-1.csv-4	r-20160707-M2-25nM-10min-1.csv-5	r-20160707-M2-25nM-10min-1.csv-7	r-20160707-M2-25nM-10min-1.csv-8	r-20160707-M2-25nM-10min-1.csv-9	r-20160707-M2-25nM-10min-1.csv-10	r-20160707-M2-25nM-10min-1.csv-12	r-20160707-M2-25nM-10min-1.csv-13	r-20160707-M2-25nM-10min-1.csv-19	r-20160707-M2-25nM-10min-1.csv-34	r-20160707-M2-25nM-10min-1.csv-35	r-20160707-M2-25nM-10min-1.csv-40	r-20160707-M2-25nM-10min-1.csv-41	r-20160707-M2-25nM-10min-1.csv-46	r-20160707-M2-25nM-10min-2.csv-1	r-20160707-M2-25nM-10min-2.csv-2	r-20160707-M2-25nM-10min-2.csv-3	r-20160707-M2-25nM-10min-2.csv-4	r-20160707-M2-25nM-10min-2.csv-5	r-20160707-M2-25nM-10min-2.csv-8	r-20160707-M2-25nM-10min-2.csv-9	r-20160707-M2-25nM-10min-2.csv-10	r-20160707-M2-25nM-10min-2.csv-11	r-20160707-M2-25nM-10min-2.csv-14	r-20160707-M2-25nM-10min-2.csv-15	r-20160707-M2-25nM-10min-2.csv-19	r-20160707-M2-25nM-10min-2.csv-25	r-20160707-M2-25nM-10min-3.csv-1	r-20160707-M2-25nM-10min-3.csv-3	r-20160707-M2-25nM-10min-3.csv-4	r-20160707-M2-25nM-10min-3.csv-5	r-20160707-M2-25nM-10min-3.csv-6	r-20160707-M2-25nM-10min-3.csv-10	r-20160707-M2-25nM-10min-3.csv-11	r-20160707-M2-25nM-10min-3.csv-12	r-20160707-M2-25nM-10min-3.csv-13	r-20160707-M2-25nM-10min-3.csv-15	r-20160707-M2-25nM-10min-4.csv-1	r-20160707-M2-25nM-10min-4.csv-2	r-20160707-M2-25nM-10min-4.csv-4	r-20160707-M2-25nM-10min-4.csv-6	r-20160707-M2-25nM-10min-4.csv-7	r-20160707-M2-25nM-10min-4.csv-9	r-20160707-M2-25nM-10min-4.csv-10	r-20160707-M2-25nM-10min-4.csv-11	r-20160707-M2-25nM-10min-4.csv-12	r-20160707-M2-25nM-10min-4.csv-21	r-20160707-M2-25nM-10min-4.csv-29	r-20160707-M2-25nM-10min-4.csv-32	r-20160707-M2-25nM-10min-4.csv-36	r-20160707-M2-25nM-10min-5.csv-1	r-20160707-M2-25nM-10min-5.csv-2	r-20160707-M2-25nM-10min-5.csv-3	r-20160707-M2-25nM-10min-5.csv-5	r-20160707-M2-25nM-10min-5.csv-6	r-20160707-M2-25nM-10min-5.csv-7	r-20160707-M2-25nM-10min-5.csv-8	r-20160707-M2-25nM-10min-5.csv-9	r-20160707-M2-25nM-10min-5.csv-10	r-20160707-M2-25nM-10min-5.csv-12	r-20160707-M2-25nM-10min-5.csv-15	r-20160707-M2-25nM-10min-5.csv-16	r-20160707-M2-25nM-10min-5.csv-17	r-20160707-M2-25nM-10min-5.csv-24	r-20160707-M2-25nM-10min-5.csv-25	r-20160707-M2-25nM-10min-6.csv-1	r-20160707-M2-25nM-10min-6.csv-3	r-20160707-M2-25nM-10min-6.csv-4	r-20160707-M2-25nM-10min-6.csv-7	r-20160707-M2-25nM-10min-6.csv-9	r-20160707-M2-25nM-10min-6.csv-11	r-20160707-M2-25nM-10min-6.csv-13	r-20160707-M2-25nM-10min-6.csv-14	r-20160707-M2-25nM-10min-6.csv-16	r-20160707-M2-25nM-10min-6.csv-17	r-20160707-M2-25nM-10min-6.csv-18	r-20160707-M2-25nM-10min-6.csv-35	r-20160707-M2-25nM-10min-6.csv-41	r-20160707-M2-25nM-10min-6.csv-46	r-20160707-M2-25nM-10min-6.csv-49	r-20160707-M2-25nM-10min-7.csv-1	r-20160707-M2-25nM-10min-7.csv-2	r-20160707-M2-25nM-10min-7.csv-3	r-20160707-M2-25nM-10min-7.csv-4	r-20160707-M2-25nM-10min-7.csv-6	r-20160707-M2-25nM-10min-7.csv-7	r-20160707-M2-25nM-10min-7.csv-9	r-20160707-M2-25nM-10min-7.csv-10	r-20160707-M2-25nM-10min-7.csv-11	r-20160707-M2-25nM-10min-7.csv-14	r-20160707-M2-25nM-10min-7.csv-17
1	0.792	0.778	0.758	0.753	0.756	0.765	0.767	0.812	0.749	0.803	0.778	NaN	NaN	NaN	NaN	NaN	NaN	0.797	0.788	0.785	0.815	0.777	0.823	0.783	0.806	0.782	0.768	0.782	0.780	NaN	0.740	0.809	0.802	0.799	0.736	0.761	0.749	0.827	0.723	0.761	0.843	0.725	0.778	0.743	0.782	0.780	0.786	0.803	0.796	NaN	NaN	NaN	NaN	0.753	0.754	0.785	0.750	0.818	0.787	0.761	0.747	0.780	0.840	0.766	0.776	0.780	NaN	NaN	0.815	0.770	0.824	0.824	0.786	0.816	0.769	0.836	0.814	0.782	0.774	NaN	NaN	NaN	NaN	0.835	0.846	0.817	0.833	0.833	0.823	0.806	0.839	0.834	0.817	NaN
2	0.792	0.775	0.754	0.752	0.750	0.764	0.770	0.808	0.747	0.798	0.778	NaN	NaN	NaN	NaN	NaN	NaN	0.786	0.786	0.782	0.806	0.775	0.817	0.780	0.803	0.781	0.762	0.778	0.771	NaN	0.739	0.809	0.796	0.797	0.750	0.762	0.750	0.812	0.729	0.766	0.838	0.724	0.776	0.744	0.779	0.774	0.784	0.797	0.792	NaN	NaN	NaN	NaN	0.750	0.754	0.783	0.743	0.801	0.781	0.757	0.757	0.776	0.845	0.767	0.776	0.777	NaN	NaN	0.766	0.763	0.799	0.831	0.778	0.809	0.764	0.827	0.812	0.770	0.770	NaN	NaN	NaN	NaN	0.831	0.841	0.806	0.824	0.832	0.813	0.798	0.833	0.831	0.809	NaN
3	0.793	0.773	0.752	0.751	0.748	0.764	0.772	0.805	0.746	0.794	0.778	0.774	NaN	NaN	NaN	NaN	NaN	0.776	0.786	0.780	0.800	0.775	0.813	0.778	0.801	0.780	0.758	0.775	0.764	NaN	0.738	0.808	0.790	0.796	0.750	0.762	0.746	0.801	0.731	0.769	0.834	0.724	0.774	0.745	0.778	0.770	0.782	0.792	0.791	NaN	NaN	NaN	NaN	0.748	0.755	0.785	0.743	0.804	0.778	0.752	0.760	0.772	0.850	0.768	0.777	0.779	NaN	NaN	0.761	0.760	0.789	0.837	0.784	0.801	0.763	0.820	0.810	0.765	0.768	NaN	NaN	NaN	NaN	0.828	0.837	0.799	0.818	0.831	0.805	0.791	0.827	0.828	0.803	NaN
4	0.794	0.772	0.750	0.751	0.749	0.764	0.772	0.804	0.745	0.791	0.776	0.777	NaN	NaN	NaN	NaN	NaN	0.769	0.786	0.776	0.797	0.776	0.811	0.777	0.801	0.778	0.755	0.773	0.759	NaN	0.737	0.808	0.784	0.794	0.745	0.762	0.741	0.794	0.731	0.768	0.829	0.724	0.773	0.747	0.778	0.767	0.781	0.789	0.791	NaN	NaN	NaN	NaN	0.746	0.757	0.783	0.746	0.814	0.778	0.751	0.760	0.769	0.854	0.767	0.778	0.782	NaN	NaN	0.772	0.761	0.789	0.839	0.793	0.794	0.764	0.816	0.809	0.764	0.766	NaN	NaN	NaN	NaN	0.825	0.834	0.794	0.815	0.830	0.798	0.786	0.822	0.825	0.800	NaN
5	0.795	0.772	0.748	0.751	0.753	0.764	0.772	0.804	0.745	0.789	0.775	0.779	NaN	NaN	NaN	NaN	NaN	0.764	0.787	0.773	0.798	0.777	0.811	0.777	0.801	0.778	0.754	0.770	0.756	NaN	0.736	0.807	0.779	0.793	0.740	0.763	0.743	0.790	0.728	0.765	0.826	0.725	0.772	0.748	0.779	0.766	0.780	0.787	0.792	NaN	NaN	NaN	NaN	0.745	0.759	0.778	0.747	0.816	0.780	0.753	0.758	0.767	0.858	0.766	0.780	0.784	NaN	NaN	0.783	0.765	0.794	0.834	0.790	0.792	0.763	0.817	0.808	0.766	0.766	NaN	NaN	NaN	NaN	0.824	0.832	0.791	0.815	0.829	0.794	0.782	0.817	0.822	0.798	NaN
6	0.796	0.774	0.747	0.752	0.759	0.764	0.772	0.804	0.745	0.788	0.772	0.781	NaN	NaN	NaN	NaN	NaN	0.761	0.788	0.770	0.801	0.780	0.813	0.778	0.803	0.777	0.754	0.769	0.754	NaN	0.734	0.806	0.775	0.793	0.745	0.764	0.745	0.789	0.722	0.757	0.823	0.727	0.772	0.750	0.782	0.767	0.779	0.787	0.795	NaN	NaN	NaN	NaN	0.744	0.762	0.777	0.748	0.809	0.783	0.759	0.759	0.766	0.863	0.764	0.783	0.785	NaN	NaN	0.791	0.767	0.795	0.827	0.774	0.795	0.756	0.820	0.808	0.767	0.767	NaN	NaN	NaN	NaN	0.823	0.831	0.791	0.817	0.827	0.791	0.779	0.813	0.820	0.799	0.729
7	0.797	0.776	0.747	0.752	0.766	0.766	0.773	0.806	0.746	0.788	0.770	0.781	NaN	NaN	NaN	NaN	NaN	0.760	0.790	0.766	0.806	0.783	0.816	0.779	0.806	0.776	0.755	0.769	0.754	NaN	0.732	0.805	0.772	0.792	0.755	0.765	0.743	0.790	0.717	0.748	0.822	0.729	0.772	0.751	0.786	0.769	0.779	0.787	0.799	NaN	NaN	NaN	NaN	0.745	0.765	0.779	0.750	0.804	0.785	0.766	0.761	0.767	0.867	0.762	0.786	0.787	NaN	NaN	0.782	0.766	0.794	0.825	0.760	0.798	0.750	0.823	0.808	0.765	0.769	NaN	NaN	NaN	NaN	0.823	0.830	0.792	0.821	0.826	0.790	0.777	0.810	0.818	0.803	0.741
8	0.797	0.780	0.747	0.753	0.774	0.768	0.774	0.809	0.747	0.788	0.767	0.780	NaN	NaN	NaN	NaN	NaN	0.761	0.793	0.763	0.814	0.786	0.821	0.782	0.810	0.776	0.757	0.770	0.756	NaN	0.731	0.804	0.769	0.792	0.759	0.767	0.742	0.794	0.714	0.745	0.822	0.731	0.772	0.753	0.792	0.774	0.780	0.788	0.804	NaN	NaN	NaN	NaN	0.746	0.769	0.786	0.755	0.809	0.786	0.770	0.762	0.769	0.872	0.760	0.790	0.791	NaN	NaN	0.749	0.762	0.792	0.832	0.757	0.798	0.748	0.826	0.809	0.762	0.773	NaN	NaN	NaN	NaN	0.824	0.830	0.796	0.827	0.826	0.791	0.777	0.809	0.816	0.809	0.753
9	0.797	0.784	0.747	0.753	0.780	0.771	0.776	0.812	0.748	0.788	0.765	0.778	NaN	NaN	NaN	NaN	NaN	0.764	0.796	0.761	0.823	0.790	0.827	0.785	0.815	0.777	0.759	0.772	0.758	NaN	0.730	0.803	0.768	0.792	0.751	0.769	0.741	0.801	0.715	0.744	0.825	0.734	0.773	0.755	0.799	0.781	0.781	0.791	0.810	0.774	NaN	NaN	NaN	0.747	0.774	0.794	0.763	0.808	0.786	0.775	0.761	0.772	0.876	0.758	0.794	0.799	NaN	NaN	0.715	0.757	0.792	0.837	0.761	0.795	0.748	0.827	0.810	0.758	0.777	NaN	NaN	NaN	NaN	0.827	0.831	0.802	0.833	0.826	0.793	0.778	0.809	0.815	0.818	0.762
10	0.798	0.790	0.748	0.753	0.785	0.775	0.778	0.816	0.749	0.788	0.763	0.777	NaN	NaN	NaN	NaN	NaN	0.769	0.800	0.759	0.833	0.794	0.834	0.788	0.820	0.778	0.761	0.776	0.762	NaN	0.730	0.801	0.768	0.792	0.739	0.772	0.739	0.809	0.717	0.745	0.831	0.737	0.773	0.758	0.810	0.791	0.784	0.794	0.817	0.775	NaN	NaN	NaN	0.749	0.779	0.798	0.773	0.801	0.785	0.783	0.756	0.777	0.881	0.757	0.799	0.808	NaN	NaN	0.713	0.755	0.796	0.837	0.763	0.794	0.748	0.828	0.811	0.754	0.783	NaN	NaN	NaN	NaN	0.831	0.833	0.809	0.841	0.827	0.797	0.780	0.811	0.814	0.830	0.771
