Timepoint	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-2	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-3	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-4	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-6	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-7	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-9	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-10	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-11	r-20170106-WT M1 M2-0.25nM-High resolution-22min-1.csv-129	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-3	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-4	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-7	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-8	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-12	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-13	r-20170106-WT M1 M2-0.25nM-High resolution-22min-2.csv-117
1	0.801	0.785	0.807	0.806	0.852	0.781	0.828	0.845	NaN	0.792	0.825	0.807	0.799	0.768	0.834	NaN
2	0.788	0.785	0.808	0.809	0.851	0.781	0.828	0.845	NaN	0.792	0.821	0.814	0.804	0.767	0.834	NaN
3	0.779	0.785	0.810	0.812	0.851	0.781	0.828	0.845	NaN	0.792	0.821	0.819	0.811	0.768	0.805	NaN
4	0.777	0.784	0.811	0.815	0.851	0.781	0.829	0.846	NaN	0.792	0.823	0.816	0.809	0.767	0.791	NaN
5	0.780	0.784	0.812	0.817	0.850	0.781	0.829	0.846	NaN	0.791	0.827	0.817	0.802	0.766	0.818	NaN
6	0.785	0.784	0.812	0.819	0.850	0.782	0.830	0.846	NaN	0.791	0.828	0.823	0.800	0.769	0.838	NaN
7	0.787	0.784	0.813	0.820	0.850	0.782	0.830	0.847	NaN	0.791	0.825	0.820	0.805	0.774	0.819	NaN
8	0.785	0.784	0.813	0.822	0.850	0.783	0.831	0.847	NaN	0.792	0.823	0.816	0.813	0.778	0.806	NaN
9	0.780	0.784	0.814	0.823	0.850	0.784	0.831	0.848	NaN	0.792	0.826	0.812	0.823	0.780	0.816	NaN
10	0.775	0.784	0.814	0.823	0.851	0.784	0.832	0.848	NaN	0.792	0.830	0.810	0.833	0.782	0.821	NaN
11	0.774	0.784	0.814	0.824	0.851	0.785	0.833	0.848	NaN	0.792	0.831	0.811	0.832	0.783	0.816	NaN
12	0.775	0.784	0.815	0.824	0.851	0.786	0.833	0.849	NaN	0.792	0.827	0.812	0.818	0.783	0.810	NaN
13	0.779	0.784	0.815	0.824	0.851	0.787	0.834	0.849	NaN	0.793	0.823	0.810	0.806	0.778	0.812	NaN
14	0.782	0.784	0.815	0.824	0.851	0.788	0.835	0.849	NaN	0.793	0.823	0.813	0.805	0.770	0.827	NaN
15	0.785	0.784	0.815	0.824	0.851	0.789	0.835	0.850	NaN	0.794	0.830	0.824	0.808	0.766	0.842	NaN
16	0.786	0.784	0.815	0.824	0.852	0.790	0.836	0.850	NaN	0.794	0.838	0.825	0.810	0.770	0.843	NaN
17	0.784	0.785	0.815	0.823	0.852	0.791	0.837	0.850	NaN	0.795	0.839	0.813	0.816	0.774	0.821	NaN
18	0.780	0.785	0.815	0.823	0.852	0.791	0.838	0.851	NaN	0.795	0.833	0.810	0.819	0.772	0.801	NaN
19	0.778	0.785	0.816	0.822	0.852	0.792	0.839	0.851	NaN	0.795	0.827	0.823	0.813	0.768	0.804	NaN
20	0.778	0.785	0.816	0.821	0.852	0.793	0.840	0.851	NaN	0.796	0.820	0.829	0.802	0.767	0.831	NaN
21	0.780	0.785	0.816	0.821	0.852	0.794	0.842	0.852	NaN	0.796	0.815	0.824	0.804	0.774	0.855	NaN
22	0.783	0.785	0.816	0.820	0.852	0.794	0.843	0.852	NaN	0.797	0.814	0.814	0.812	0.783	0.845	NaN
23	0.785	0.785	0.817	0.819	0.853	0.795	0.845	0.852	NaN	0.797	0.817	0.811	0.819	0.790	0.815	NaN
24	0.785	0.786	0.817	0.819	0.853	0.795	0.846	0.853	NaN	0.797	0.818	0.810	0.824	0.794	0.813	NaN
25	0.784	0.786	0.818	0.818	0.853	0.796	0.848	0.853	NaN	0.798	0.816	0.813	0.825	0.790	0.832	NaN
26	0.784	0.786	0.818	0.818	0.853	0.797	0.849	0.854	NaN	0.798	0.809	0.819	0.828	0.781	0.842	NaN
27	0.784	0.786	0.819	0.818	0.853	0.797	0.851	0.855	NaN	0.798	0.804	0.823	0.827	0.779	0.839	NaN
28	0.784	0.787	0.819	0.817	0.854	0.798	0.852	0.855	NaN	0.798	0.808	0.824	0.822	0.786	0.839	NaN
29	0.785	0.787	0.820	0.817	0.854	0.799	0.854	0.856	NaN	0.798	0.820	0.821	0.816	0.793	0.833	NaN
30	0.787	0.787	0.821	0.817	0.854	0.799	0.855	0.856	NaN	0.798	0.832	0.823	0.810	0.793	0.815	NaN
31	0.788	0.788	0.822	0.817	0.855	0.800	0.857	0.857	NaN	0.799	0.836	0.821	0.812	0.786	0.792	NaN
32	0.789	0.788	0.822	0.817	0.855	0.801	0.858	0.858	NaN	0.799	0.830	0.815	0.822	0.779	0.805	NaN
33	0.789	0.789	0.823	0.818	0.856	0.802	0.859	0.858	NaN	0.799	0.821	0.814	0.828	0.780	0.845	NaN
34	0.789	0.789	0.824	0.818	0.856	0.803	0.860	0.859	NaN	0.799	0.818	0.818	0.830	0.787	0.852	NaN
35	0.788	0.790	0.825	0.818	0.857	0.805	0.861	0.860	NaN	0.800	0.825	0.815	0.833	0.794	0.818	NaN
36	0.787	0.791	0.825	0.819	0.858	0.806	0.862	0.861	NaN	0.800	0.834	0.811	0.838	0.799	0.812	NaN
37	0.788	0.791	0.826	0.819	0.858	0.807	0.863	0.861	NaN	0.800	0.831	0.819	0.837	0.801	0.822	NaN
38	0.790	0.792	0.827	0.820	0.859	0.809	0.863	0.862	NaN	0.801	0.819	0.835	0.831	0.803	0.818	NaN
39	0.792	0.792	0.828	0.821	0.860	0.810	0.864	0.863	NaN	0.801	0.810	0.843	0.832	0.807	0.821	NaN
40	0.794	0.793	0.829	0.822	0.861	0.812	0.865	0.864	NaN	0.802	0.810	0.832	0.844	0.805	0.819	NaN
41	0.794	0.793	0.829	0.823	0.861	0.813	0.865	0.865	NaN	0.803	0.817	0.818	0.853	0.794	0.804	NaN
42	0.794	0.793	0.830	0.824	0.862	0.815	0.866	0.866	NaN	0.803	0.826	0.818	0.847	0.780	0.818	NaN
43	0.793	0.794	0.831	0.825	0.863	0.816	0.866	0.866	NaN	0.804	0.837	0.833	0.833	0.773	0.838	NaN
44	0.794	0.794	0.832	0.826	0.863	0.818	0.866	0.867	NaN	0.804	0.850	0.837	0.825	0.778	0.829	NaN
45	0.796	0.794	0.832	0.827	0.864	0.819	0.867	0.868	NaN	0.805	0.860	0.827	0.832	0.791	0.816	NaN
46	0.797	0.794	0.833	0.828	0.864	0.820	0.867	0.868	NaN	0.806	0.861	0.826	0.842	0.801	0.840	NaN
47	0.793	0.794	0.833	0.828	0.864	0.821	0.867	0.869	NaN	0.806	0.855	0.821	0.841	0.805	0.858	NaN
48	0.788	0.794	0.834	0.829	0.864	0.823	0.867	0.869	NaN	0.807	0.846	0.816	0.835	0.807	0.857	NaN
49	0.783	0.794	0.834	0.830	0.865	0.823	0.866	0.870	NaN	0.808	0.841	0.820	0.835	0.803	0.848	NaN
50	0.781	0.794	0.834	0.830	0.865	0.824	0.866	0.870	NaN	0.808	0.842	0.829	0.846	0.795	0.824	NaN
51	0.782	0.794	0.835	0.831	0.865	0.825	0.865	0.870	NaN	0.809	0.848	0.838	0.865	0.789	0.817	NaN
52	0.786	0.795	0.835	0.831	0.865	0.826	0.864	0.870	NaN	0.810	0.852	0.845	0.871	0.791	0.839	NaN
53	0.791	0.795	0.835	0.831	0.865	0.827	0.863	0.870	NaN	0.810	0.852	0.847	0.861	0.806	0.832	NaN
54	0.794	0.795	0.835	0.831	0.865	0.827	0.862	0.870	NaN	0.811	0.849	0.836	0.851	0.824	0.822	NaN
55	0.797	0.795	0.835	0.831	0.865	0.828	0.860	0.870	NaN	0.812	0.856	0.826	0.845	0.831	0.811	NaN
56	0.798	0.796	0.835	0.831	0.866	0.829	0.859	0.870	NaN	0.813	0.872	0.834	0.839	0.825	0.805	NaN
57	0.799	0.796	0.835	0.831	0.866	0.829	0.858	0.870	NaN	0.813	0.883	0.837	0.835	0.812	0.809	NaN
58	0.799	0.796	0.836	0.831	0.866	0.830	0.857	0.870	NaN	0.814	0.880	0.837	0.838	0.803	0.819	NaN
59	0.799	0.797	0.836	0.831	0.867	0.831	0.856	0.871	NaN	0.815	0.866	0.840	0.841	0.806	0.839	NaN
