Timepoint	r-20170106-WT M1 M2-0.25nM-High resolution-22min-3.csv-1	r-20170106-WT M1 M2-0.25nM-High resolution-22min-3.csv-5	r-20170106-WT M1 M2-0.25nM-High resolution-22min-3.csv-7	r-20170106-WT M1 M2-0.25nM-High resolution-22min-3.csv-261	r-20170106-WT M1 M2-0.25nM-High resolution-22min-4.csv-2	r-20170106-WT M1 M2-0.25nM-High resolution-22min-4.csv-8	r-20170106-WT M1 M2-0.25nM-High resolution-22min-4.csv-9
1	0.779	0.800	0.791	NaN	0.822	0.793	0.844
2	0.775	0.778	0.791	NaN	0.818	0.791	0.833
3	0.771	0.770	0.791	NaN	0.814	0.792	0.828
4	0.768	0.769	0.791	NaN	0.812	0.791	0.826
5	0.767	0.770	0.791	NaN	0.810	0.790	0.827
6	0.765	0.770	0.791	NaN	0.809	0.787	0.830
7	0.764	0.773	0.791	NaN	0.809	0.782	0.832
8	0.764	0.775	0.791	NaN	0.808	0.781	0.834
9	0.763	0.774	0.791	NaN	0.806	0.781	0.832
10	0.763	0.771	0.791	NaN	0.804	0.781	0.828
11	0.764	0.771	0.790	NaN	0.804	0.785	0.823
12	0.764	0.774	0.790	NaN	0.805	0.787	0.820
13	0.765	0.778	0.790	NaN	0.807	0.786	0.819
14	0.766	0.780	0.789	NaN	0.809	0.783	0.820
15	0.767	0.780	0.789	NaN	0.810	0.781	0.823
16	0.768	0.779	0.788	NaN	0.811	0.782	0.826
17	0.769	0.779	0.788	NaN	0.811	0.785	0.828
18	0.770	0.780	0.788	NaN	0.811	0.787	0.830
19	0.771	0.780	0.788	NaN	0.810	0.787	0.830
20	0.771	0.779	0.788	NaN	0.809	0.786	0.829
21	0.771	0.778	0.788	NaN	0.806	0.782	0.826
22	0.771	0.778	0.789	NaN	0.804	0.775	0.823
23	0.771	0.781	0.789	NaN	0.803	0.775	0.820
24	0.771	0.783	0.790	NaN	0.804	0.783	0.819
25	0.770	0.781	0.791	NaN	0.807	0.790	0.820
26	0.770	0.779	0.793	NaN	0.811	0.790	0.820
