Timepoint	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-1	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-2	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-3	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-6	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-7	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-8	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-9	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-10	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-11	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-15	r-20170106-WT M1 M2-0.25nM-High resolution-22min-5.csv-16	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-5	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-6	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-10	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-11	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-13	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-14	r-20170106-WT M1 M2-0.25nM-High resolution-22min-6.csv-15
1	0.833	0.818	0.840	0.916	0.823	0.833	0.858	0.800	0.852	0.802	0.809	0.903	0.904	0.912	0.911	0.919	0.828	0.903
2	0.836	0.802	0.846	0.904	0.837	0.832	0.851	0.798	0.851	0.799	0.807	0.901	0.884	0.897	0.891	0.893	0.804	0.890
3	0.830	0.797	0.849	0.893	0.849	0.830	0.848	0.804	0.850	0.797	0.805	0.887	0.873	0.886	0.877	0.880	0.795	0.882
4	0.832	0.798	0.851	0.886	0.849	0.833	0.846	0.810	0.849	0.797	0.803	0.870	0.869	0.880	0.868	0.884	0.795	0.878
5	0.852	0.802	0.852	0.881	0.844	0.837	0.846	0.808	0.848	0.798	0.801	0.867	0.871	0.877	0.865	0.890	0.796	0.880
6	0.867	0.807	0.850	0.877	0.841	0.836	0.847	0.802	0.847	0.798	0.801	0.877	0.872	0.877	0.868	0.889	0.795	0.883
7	0.851	0.811	0.848	0.875	0.844	0.831	0.848	0.805	0.847	0.798	0.800	0.885	0.870	0.879	0.875	0.879	0.790	0.880
8	0.817	0.814	0.847	0.873	0.846	0.826	0.848	0.812	0.846	0.796	0.799	0.885	0.867	0.882	0.881	0.871	0.787	0.877
9	0.802	0.813	0.845	0.871	0.846	0.825	0.845	0.809	0.845	0.795	0.799	0.885	0.865	0.883	0.881	0.871	0.787	0.870
10	0.818	0.807	0.847	0.869	0.845	0.827	0.843	0.799	0.845	0.796	0.799	0.884	0.865	0.881	0.875	0.865	0.786	0.859
