Timepoint	r-20170107-M2-0.25nM-High resolution-15min-1.csv-3	r-20170107-M2-0.25nM-High resolution-15min-1.csv-4	r-20170107-M2-0.25nM-High resolution-15min-1.csv-6	r-20170107-M2-0.25nM-High resolution-15min-1.csv-7	r-20170107-M2-0.25nM-High resolution-15min-1.csv-8	r-20170107-M2-0.25nM-High resolution-15min-1.csv-9	r-20170107-M2-0.25nM-High resolution-15min-1.csv-10	r-20170107-M2-0.25nM-High resolution-15min-2.csv-3	r-20170107-M2-0.25nM-High resolution-15min-2.csv-4	r-20170107-M2-0.25nM-High resolution-15min-2.csv-7	r-20170107-M2-0.25nM-High resolution-15min-2.csv-10	r-20170107-M2-0.25nM-High resolution-15min-2.csv-11	r-20170107-M2-0.25nM-High resolution-15min-3.csv-1	r-20170107-M2-0.25nM-High resolution-15min-3.csv-3	r-20170107-M2-0.25nM-High resolution-15min-3.csv-4	r-20170107-M2-0.25nM-High resolution-15min-3.csv-5	r-20170107-M2-0.25nM-High resolution-15min-3.csv-8	r-20170107-M2-0.25nM-High resolution-15min-3.csv-9	r-20170107-M2-0.25nM-High resolution-15min-3.csv-10	r-20170107-M2-0.25nM-High resolution-15min-3.csv-14	r-20170107-M2-0.25nM-High resolution-15min-3.csv-15	r-20170107-M2-0.25nM-High resolution-15min-3.csv-16	r-20170107-M2-0.25nM-High resolution-15min-3.csv-59	r-20170107-M2-0.25nM-High resolution-15min-4.csv-2	r-20170107-M2-0.25nM-High resolution-15min-4.csv-3	r-20170107-M2-0.25nM-High resolution-15min-4.csv-4	r-20170107-M2-0.25nM-High resolution-15min-4.csv-5	r-20170107-M2-0.25nM-High resolution-15min-4.csv-6	r-20170107-M2-0.25nM-High resolution-15min-4.csv-8	r-20170107-M2-0.25nM-High resolution-15min-4.csv-9	r-20170107-M2-0.25nM-High resolution-15min-4.csv-10	r-20170107-M2-0.25nM-High resolution-15min-4.csv-11	r-20170107-M2-0.25nM-High resolution-15min-4.csv-12	r-20170107-M2-0.25nM-High resolution-15min-4.csv-19	r-20170107-M2-0.25nM-High resolution-15min-4.csv-78	r-20170107-M2-0.25nM-High resolution-15min-5.csv-1	r-20170107-M2-0.25nM-High resolution-15min-5.csv-2	r-20170107-M2-0.25nM-High resolution-15min-5.csv-4	r-20170107-M2-0.25nM-High resolution-15min-5.csv-6	r-20170107-M2-0.25nM-High resolution-15min-5.csv-9	r-20170107-M2-0.25nM-High resolution-15min-5.csv-10	r-20170107-M2-0.25nM-High resolution-15min-5.csv-12	r-20170107-M2-0.25nM-High resolution-15min-6.csv-1	r-20170107-M2-0.25nM-High resolution-15min-6.csv-2	r-20170107-M2-0.25nM-High resolution-15min-6.csv-3	r-20170107-M2-0.25nM-High resolution-15min-6.csv-4	r-20170107-M2-0.25nM-High resolution-15min-6.csv-5	r-20170107-M2-0.25nM-High resolution-15min-6.csv-9	r-20170107-M2-0.25nM-High resolution-15min-6.csv-10	r-20170107-M2-0.25nM-High resolution-15min-6.csv-13
1	0.773	0.789	0.784	0.790	0.743	0.804	0.745	0.800	0.801	0.807	0.771	0.738	0.812	0.840	0.736	0.781	0.826	0.773	0.772	0.756	0.777	0.775	NaN	0.838	0.788	0.739	0.834	0.786	0.801	0.815	0.810	0.778	0.795	NaN	NaN	0.774	0.765	0.754	0.777	0.751	0.774	NaN	0.746	0.715	0.786	0.799	0.775	0.779	0.732	0.805
2	0.771	0.775	0.774	0.789	0.741	0.787	0.743	0.783	0.799	0.787	0.769	0.733	0.810	0.826	0.740	0.767	0.824	0.771	0.769	0.755	0.793	0.771	NaN	0.825	0.782	0.738	0.831	0.778	0.783	0.811	0.812	0.772	0.794	NaN	NaN	0.770	0.765	0.753	0.775	0.751	0.764	NaN	0.745	0.711	0.785	0.786	0.775	0.777	0.734	0.795
3	0.769	0.766	0.766	0.787	0.739	0.779	0.741	0.773	0.798	0.776	0.768	0.728	0.809	0.814	0.743	0.755	0.821	0.770	0.765	0.754	0.797	0.768	NaN	0.814	0.783	0.738	0.829	0.770	0.770	0.808	0.811	0.767	0.792	NaN	NaN	0.766	0.758	0.752	0.774	0.750	0.757	NaN	0.738	0.708	0.785	0.775	0.775	0.775	0.735	0.786
4	0.767	0.760	0.758	0.786	0.738	0.779	0.739	0.770	0.797	0.775	0.767	0.724	0.807	0.805	0.744	0.748	0.816	0.768	0.762	0.754	0.795	0.766	NaN	0.806	0.785	0.737	0.827	0.764	0.760	0.806	0.809	0.765	0.791	NaN	NaN	0.761	0.750	0.752	0.773	0.750	0.751	NaN	0.732	0.706	0.785	0.766	0.776	0.773	0.737	0.779
5	0.766	0.759	0.754	0.785	0.736	0.784	0.737	0.772	0.796	0.777	0.768	0.720	0.807	0.797	0.744	0.744	0.811	0.767	0.759	0.753	0.792	0.764	NaN	0.800	0.784	0.737	0.826	0.759	0.753	0.806	0.804	0.764	0.790	NaN	NaN	0.758	0.747	0.751	0.771	0.748	0.747	NaN	0.730	0.704	0.785	0.764	0.777	0.771	0.738	0.775
6	0.765	0.759	0.756	0.784	0.735	0.788	0.735	0.775	0.794	0.781	0.769	0.716	0.807	0.792	0.742	0.743	0.808	0.767	0.757	0.753	0.786	0.762	NaN	0.796	0.780	0.737	0.825	0.755	0.750	0.807	0.799	0.764	0.789	NaN	NaN	0.755	0.750	0.750	0.770	0.746	0.746	NaN	0.731	0.703	0.786	0.767	0.778	0.769	0.740	0.774
7	0.764	0.759	0.761	0.784	0.735	0.792	0.733	0.779	0.793	0.782	0.771	0.711	0.806	0.790	0.740	0.743	0.808	0.766	0.755	0.753	0.784	0.761	NaN	0.795	0.777	0.737	0.825	0.753	0.750	0.809	0.796	0.764	0.788	NaN	NaN	0.753	0.750	0.750	0.770	0.743	0.746	NaN	0.728	0.702	0.787	0.771	0.780	0.767	0.741	0.774
8	0.763	0.759	0.761	0.783	0.734	0.794	0.730	0.782	0.793	0.780	0.773	0.708	0.806	0.789	0.737	0.743	0.809	0.766	0.755	0.752	0.786	0.761	NaN	0.796	0.778	0.736	0.825	0.753	0.750	0.813	0.793	0.765	0.788	NaN	NaN	0.753	0.748	0.749	0.769	0.741	0.748	NaN	0.725	0.701	0.787	0.770	0.781	0.765	0.742	0.774
9	0.762	0.757	0.757	0.782	0.734	0.795	0.728	0.782	0.792	0.777	0.775	0.708	0.805	0.789	0.734	0.744	0.810	0.766	0.755	0.752	0.787	0.762	NaN	0.797	0.781	0.736	0.825	0.753	0.752	0.816	0.793	0.765	0.787	NaN	NaN	0.753	0.746	0.749	0.768	0.739	0.750	NaN	0.726	0.701	0.788	0.766	0.782	0.764	0.743	0.774
10	0.762	0.755	0.755	0.782	0.734	0.794	0.726	0.781	0.791	0.776	0.776	0.709	0.804	0.791	0.731	0.745	0.809	0.766	0.754	0.751	0.785	0.762	NaN	0.799	0.782	0.736	0.825	0.752	0.753	0.819	0.795	0.765	0.786	NaN	NaN	0.755	0.747	0.749	0.768	0.738	0.752	NaN	0.734	0.702	0.789	0.762	0.783	0.762	0.744	0.773
