Timepoint	r-20170110-M1-0.25nM-High resolution-3h-4.csv-9	r-20170110-M1-0.25nM-High resolution-3h-4.csv-11	r-20170110-M1-0.25nM-High resolution-3h-5.csv-10	r-20170110-M1-0.25nM-High resolution-3h-5.csv-22	r-20170110-M1-0.25nM-High resolution-3h-5.csv-37	r-20170110-M1-0.25nM-High resolution-3h-5.csv-38
1	0.763	0.777	0.850	NaN	NaN	NaN
2	0.763	0.783	0.844	NaN	NaN	NaN
3	0.764	0.787	0.843	NaN	NaN	NaN
4	0.765	0.790	0.844	NaN	NaN	NaN
5	0.766	0.792	0.846	NaN	NaN	NaN
6	0.766	0.793	0.846	NaN	NaN	NaN
7	0.767	0.793	0.846	NaN	NaN	NaN
8	0.768	0.793	0.845	NaN	NaN	NaN
9	0.768	0.791	0.842	NaN	NaN	NaN
10	0.769	0.790	0.837	NaN	NaN	NaN
11	0.770	0.788	0.831	NaN	NaN	NaN
12	0.770	0.788	0.829	NaN	NaN	NaN
13	0.771	0.788	0.832	NaN	NaN	NaN
14	0.771	0.790	0.840	NaN	NaN	NaN
15	0.772	0.792	0.847	NaN	NaN	NaN
16	0.772	0.793	0.851	NaN	NaN	NaN
17	0.773	0.795	0.853	NaN	NaN	NaN
18	0.774	0.797	0.854	NaN	NaN	NaN
19	0.774	0.798	0.854	NaN	NaN	NaN
20	0.775	0.800	0.854	NaN	NaN	NaN
21	0.775	0.803	0.855	NaN	NaN	NaN
22	0.776	0.806	0.857	NaN	NaN	NaN
23	0.776	0.808	0.856	NaN	NaN	NaN
24	0.777	0.810	0.851	NaN	NaN	NaN
25	0.777	0.812	0.843	NaN	NaN	NaN
26	0.778	0.813	0.833	NaN	NaN	NaN
27	0.778	0.814	0.827	NaN	NaN	NaN
28	0.779	0.815	0.828	NaN	NaN	NaN
29	0.779	0.817	0.836	NaN	NaN	NaN
30	0.780	0.820	0.846	NaN	NaN	NaN
31	0.780	0.824	0.853	NaN	NaN	NaN
32	0.781	0.829	0.857	NaN	NaN	NaN
33	0.781	0.834	0.855	NaN	NaN	NaN
34	0.782	0.839	0.853	NaN	NaN	NaN
35	0.783	0.842	0.854	NaN	NaN	NaN
36	0.783	0.844	0.857	NaN	NaN	NaN
37	0.784	0.843	0.862	NaN	NaN	NaN
38	0.785	0.842	0.869	NaN	NaN	NaN
39	0.785	0.839	0.879	NaN	NaN	NaN
40	0.786	0.836	0.886	NaN	NaN	NaN
41	0.787	0.833	0.889	NaN	NaN	NaN
42	0.787	0.832	0.887	NaN	NaN	NaN
43	0.788	0.833	0.882	NaN	NaN	NaN
44	0.789	0.835	0.877	NaN	NaN	NaN
45	0.790	0.839	0.876	NaN	NaN	NaN
46	0.791	0.843	0.881	NaN	NaN	NaN
47	0.792	0.847	0.890	NaN	NaN	NaN
48	0.792	0.852	0.898	NaN	NaN	NaN
49	0.793	0.855	0.899	NaN	NaN	NaN
50	0.794	0.858	0.894	NaN	NaN	NaN
51	0.796	0.858	0.886	NaN	NaN	NaN
52	0.797	0.858	0.883	NaN	NaN	NaN
53	0.798	0.857	0.885	NaN	NaN	NaN
54	0.799	0.856	0.891	NaN	NaN	NaN
55	0.800	0.856	0.898	NaN	NaN	NaN
56	0.801	0.857	0.902	0.837	NaN	NaN
57	0.803	0.859	0.906	0.845	NaN	NaN
58	0.804	0.862	0.909	0.851	NaN	NaN
59	0.806	0.866	0.915	0.854	NaN	NaN
60	0.807	0.870	0.922	0.855	NaN	NaN
61	0.809	0.873	0.927	0.854	NaN	NaN
62	0.810	0.875	0.928	0.853	NaN	NaN
63	0.812	0.876	0.925	0.850	NaN	NaN
64	0.813	0.875	0.923	0.847	NaN	NaN
65	0.815	0.875	0.925	0.844	NaN	NaN
66	0.817	0.875	0.929	0.841	NaN	NaN
67	0.819	0.876	0.931	0.838	NaN	NaN
68	0.821	0.876	0.930	0.836	NaN	NaN
69	0.823	0.876	0.929	0.835	NaN	NaN
70	0.825	0.876	0.933	0.836	NaN	NaN
71	0.827	0.876	0.939	0.838	NaN	NaN
72	0.829	0.876	0.942	0.842	NaN	NaN
73	0.831	0.876	0.943	0.847	NaN	NaN
74	0.833	0.877	0.945	0.853	NaN	NaN
75	0.836	0.877	0.949	0.860	NaN	NaN
76	0.838	0.878	0.954	0.867	NaN	NaN
77	0.840	0.880	0.960	0.874	NaN	NaN
78	0.843	0.883	0.964	0.880	NaN	NaN
79	0.845	0.886	0.965	0.883	NaN	NaN
80	0.848	0.890	0.962	0.884	NaN	NaN
81	0.850	0.893	0.958	0.883	NaN	NaN
82	0.853	0.895	0.955	0.878	NaN	NaN
83	0.856	0.895	0.953	0.873	NaN	NaN
84	0.858	0.893	0.954	0.867	NaN	NaN
85	0.861	0.891	0.960	0.862	NaN	NaN
86	0.864	0.889	0.967	0.858	NaN	NaN
87	0.867	0.888	0.974	0.855	NaN	NaN
88	0.869	0.889	0.979	0.853	NaN	NaN
89	0.872	0.891	0.982	0.853	NaN	NaN
90	0.875	0.894	0.985	0.853	NaN	NaN
91	0.877	0.897	0.986	0.854	NaN	NaN
92	0.880	0.900	0.984	0.854	NaN	NaN
93	0.883	0.902	0.981	0.855	NaN	NaN
94	0.885	0.904	0.981	0.856	NaN	NaN
95	0.888	0.904	0.983	0.856	NaN	NaN
96	0.890	0.905	0.985	0.857	NaN	NaN
97	0.893	0.905	0.988	0.857	0.865	NaN
98	0.895	0.906	0.994	0.856	0.866	NaN
99	0.897	0.908	0.999	0.855	0.868	NaN
100	0.900	0.911	1.002	0.854	0.869	0.864
101	0.902	0.915	1.000	0.852	0.871	0.866
102	0.904	0.918	0.999	0.851	0.872	0.868
103	0.906	0.921	0.999	0.850	0.873	0.869
104	0.908	0.923	1.000	0.850	0.875	0.871
105	0.909	0.922	1.002	0.851	0.876	0.873
106	0.911	0.920	1.003	0.852	0.877	0.875
107	0.913	0.917	1.003	0.854	0.878	0.877
108	0.914	0.914	1.004	0.856	0.879	0.878
109	0.915	0.912	1.005	0.858	0.880	0.880
110	0.917	0.911	1.007	0.860	0.881	0.881
111	0.918	0.912	1.008	0.861	0.882	0.883
112	0.919	0.915	1.008	0.863	0.883	0.884
